Marque,Modele,Annee,Prix,Kilometrage,Boite_vitesse,Region
Peugeot,307,2008,,,,Dakar
Renault,19,1989,,,,Dakar
Renault,Scenic,2009,,,,Dakar
Peugeot,406,2003,,,,Dakar
Hyundai,Tucson,2009,,,,Dakar
Peugeot,308,2012,,,,Dakar
Skoda,Octavia,2012,,,,Dakar
Renault,Laguna,2007,,,,Dakar
Land Rover,Range Rover Sport,2008,,,,Dakar
Kia,Sorento,2009,,,,Dakar
Citroen,C3,2008,,,,Dakar
Peugeot,307,2007,,,,Dakar
Kia,Soul,2010,,,,Dakar
Peugeot,308,2009,,,,Dakar
Mercedes‒Benz,190,2004,,,,Dakar
Renault,Clio,2004,,,,Dakar
Nissan,Altima,2014,,,,Dakar
Toyota,Auris,2005,,,,Dakar
Ford,Edge,2011,,,,Dakar
Renault,Megane,2006,,,,Dakar
