web_scraper_order,web_scraper_start_url,fiche_voiture,prix,kilometrage,region,boite_vitesse,titre_complet,pagination,annee
1786756063-1,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-audi-s3-dakar-dakar-4137,CFA 2 000 000,120 000 km,Dakar,Manuelle,Audi S3,https://www.gaaraas.com/fr/users/dakar-auto?page=13,2007
1786756068-2,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-fiat-stilo-dakar-dakar-2508,CFA 2 700 000,160 000 km,Dakar,Manuelle,Fiat Stilo,https://www.gaaraas.com/fr/users/dakar-auto?page=13,2007
1786756072-3,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-2896,CFA 3 500 000,140 000 km,Dakar,Manuelle,Toyota RAV4,https://www.gaaraas.com/fr/users/dakar-auto?page=13,2006
1786756077-4,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1748,CFA 2 100 000,175 598 km,Dakar,Manuelle,Peugeot 307,https://www.gaaraas.com/fr/users/dakar-auto?page=13,2007
1786756082-5,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-878,CFA 2 600 000,137 000 km,Dakar,Manuelle,Dacia Logan,https://www.gaaraas.com/fr/users/dakar-auto?page=13,2008
1786756085-6,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-4348,CFA 1 850 000,120 000 km,Dakar,Manuelle,Renault Megane,https://www.gaaraas.com/fr/users/dakar-auto?page=12,2008
1786756088-7,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2611,CFA 2 100 000,90 925 km,Dakar,Manuelle,Citroen C4,https://www.gaaraas.com/fr/users/dakar-auto?page=12,2008
1786756096-8,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2758,CFA 3 900 000,160 000 km,Dakar,Manuelle,Peugeot 308,https://www.gaaraas.com/fr/users/dakar-auto?page=12,2012
1786756100-9,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-citroen-xsara-dakar-dakar-3025,CFA 1 800 000,160 000 km,Dakar,Manuelle,Citroen Xsara,https://www.gaaraas.com/fr/users/dakar-auto?page=12,2006
1786756103-10,https://www.gaaraas.com/fr/users/dakar-auto?page=1,https://www.gaaraas.com/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-871,CFA 8 200 000,105 000 km,Dakar,Manuelle,Ford Escape,https://www.gaaraas.com/fr/users/dakar-auto?page=12,2014
