Marque,Modele,Annee,Prix,Kilometrage,Boite_vitesse,Region
Peugeot,207,2012,,,,Dakar
Hyundai,Tucson,2008,,,,Dakar
Peugeot,307,2007,,,,Dakar
Kia,Soul,2010,,,,Dakar
Citroen,C3,,,,,Dakar
Peugeot,308,2009,,,,Dakar
Ford,Edge,2011,,,,Dakar
Peugeot,307,2007,,,,Dakar
Ford,Escape,2006,,,,Dakar
Mercedes‒Benz,190,2004,,,,Dakar
Volkswagen,Passat,2007,,,,Dakar
Ford,Taurus,2006,,,,Dakar
Mitsubishi,L200,2012,,,,Dakar
Nissan,Altima,2014,,,,Dakar
Renault,Scenic,2005,,,,Dakar
Hyundai,Sonata,2011,,,,Dakar
Peugeot,308,2012,,,,Dakar
Mitsubishi,Spacestar,2008,,,,Dakar
Peugeot,307,2007,,,,Dakar
SsangYong,Kyron,2007,,,,Dakar
